rank,group,business,trade,phone,city,state,street,site_verified,notes
20,"Upholstery, furniture & cabinetry",Imperial Upholstery,"reupholstery, custom cushions, leather dye",(260) 744-0751,Fort Wayne,IN,226 E Collins Rd Ste D,none anywhere,"20+ years, English and Spanish, free estimates. Instagram only. Two Fort Wayne competitors in the same search (Recovery Room, Delaney's) both own domains."
21,"Upholstery, furniture & cabinetry",Hewitt Furniture Specialties,"frame building, furniture upholstery",(918) 582-8087,Tulsa,OK,102 N Lewis Ave,none anywhere,"1-4 employees, single shop. ZoomInfo, Yelp, YellowBot. No domain anywhere."
22,"Upholstery, furniture & cabinetry",Holt Upholstery,"upholstery, slipcovers, leather repair, mobile",(918) 836-1388,Tulsa,OK,122 S Sandusky Ave,none anywhere,"Sole proprietorship, owner Dennis Holt, in business since 1978 — 48 years. One directory says website, another says N/A. Nothing resolves."
23,"Upholstery, furniture & cabinetry",Brothers Upholstery,furniture reupholstery,(806) 701-5442,Lubbock,TX,2614 50th St,none anywhere,"Established 2014. Yelp and Yellow Pages only. Three Lubbock competitors found in the same search (Mario's, Montelongo's, Irene's) all have a site or microsite."
24,"Upholstery, furniture & cabinetry",Jim's Upholstery Co,"upholstery repair, cushions, leather, chairs",(316) 262-1685,Wichita,KS,516 N Emporia St,none anywhere,"Yelp, Groupon, Yellow Pages. No official website — one directory lists a website link that leads nowhere."
25,"Upholstery, furniture & cabinetry",A & M Superior Upholstery,"sofa repair, slipcovers, cushions, fabric",(316) 262-2076,Wichita,KS,301 S Saint Francis St,none anywhere,"Yelp, Nextdoor, BBB, chamber listings. No dedicated website URL in any result."
26,"Upholstery, furniture & cabinetry",Upholstery Shop,furniture reupholstery,(316) 838-5054,Wichita,KS,1316 W 22nd St N,none anywhere,Owner Richard Metzger. A generic trade name with no website is the worst possible combination for being found — nothing distinguishes them in a search or to an assistant.
27,"Upholstery, furniture & cabinetry",Acme Upholstery,"upholstery repair, cushions, foam, leather",(423) 867-9330,Chattanooga,TN,4308 Dodds Ave,none anywhere,"Owner Larry, praised by name in reviews for attention to detail. BBB, Yelp, Nextdoor, CMac. No standalone site."
28,"Upholstery, furniture & cabinetry",Coles Custom Upholstery,"furniture, marine, motorcycle, outdoor cushions",(937) 793-9167,Dayton,OH,541 Wilmington Ave,none anywhere,"Family owned and operated, 20+ years. Yelp, BBB, Nextdoor, Yellow Pages, Facebook. Does pickup and delivery and free estimates with nowhere to say so."
29,"Upholstery, furniture & cabinetry",VanLeeuwen Upholstering & Furniture Repair,"reupholstery, springs, wood arm repair, refinishing",(937) 293-1212,Dayton,OH,326 Mary Ellen Dr,none anywhere,"52 years in business. iBegin lists the website field as 'n/a' outright. Facebook is the whole presence. Neighbors recommend them by name on Nextdoor — pure word of mouth, zero capture."
30,"Upholstery, furniture & cabinetry",Davis Upholstery,"upholstery repair, custom upholstery, sofa repair",(318) 868-7178,Shreveport,LA,7105 Linwood Ave,none anywhere,"RENTED MICROSITE. Their 'website' is davisupholsteryla.localsearch.com, a directory page they do not own. 57 years in business, 3.9 stars."
31,"Upholstery, furniture & cabinetry",Battigaglia's Upholstering,"commercial, boat and residential upholstery",(937) 293-3487,Dayton,OH,4749 Gateway Cir,none anywhere,"15 years in the Dayton area. Yelp, Nextdoor, HomeAdvisor, Yellow Pages, Manta, CMac — six directories, no site of their own."
32,"Welding, gates & ornamental iron",Miller's Welding Works,"steel buildings, fencing of all kinds",(806) 781-8571,Lubbock,TX,1200 County Rd,none anywhere,"Yahoo Local and Yelp only, open 7 days 8am-5:30pm. Steel buildings and fencing are high-ticket searched jobs with no website behind them."
33,"Welding, gates & ornamental iron",Prospect Welding,"metal fence and gate fabrication, stainless",(818) 439-7595,Van Nuys,CA,Lake Balboa area,none anywhere,Yelp only. Search returns almost nothing else. Gate and fence work is consumer-search driven.
34,"Welding, gates & ornamental iron",MX Welding,"mobile welding, MIG/TIG/stick, custom fab",(918) 361-8951,Tulsa,OK,4941 E Easton St,none anywhere,"Established 2023, owner welding since 2006. Yahoo, Nextdoor, Yelp, BBB, MerchantCircle. New business, no domain — easiest kind to name."
35,"Welding, gates & ornamental iron",Moe's Portable Welding,"mobile welding, cast iron repair",(423) 619-2691,Chattanooga,TN,6725 Ringgold Rd,none anywhere,"Facebook only. 33 years certified, 5 stars on Yellow Pages. One shop, mobile service area across Dalton, Ringgold and Chattanooga — 'we come to you' is exactly the searcher an assistant answers."
36,"Welding, gates & ornamental iron",MP Welding,welding and fabrication,(806) 319-4382,Lubbock,TX,2412 118th St Ste 3,none anywhere,"Facebook and Yelp only. Owner Matt P. Competitors in the same search (Sanco, Liberty, Lubbock Mobile Welding) all have real sites."
37,"Welding, gates & ornamental iron",KJM Welding,"structural, oilfield, farm equipment repair",(806) 319-5815,Lubbock,TX,2535 County Road 7670,none anywhere,"Sole proprietorship, BBB file opened 12/2023, owner Joshua Menefee, 10+ years. Yelp and BBB only."
38,"Welding, gates & ornamental iron",Cox Welding,"welding and fabrication, AWS certified",(806) 780-7855,Lubbock,TX,,none anywhere,"Thumbtack, Networx, Yelp. Founded ~2025, 12 years experience, AWS certified and insured. (coxweldingservices.com is a different company in Plano.)"
39,"Welding, gates & ornamental iron",Jackson Welding,"fences, decks, patios, carports, trailer repair",(806) 252-4976,Lubbock,TX,,none anywhere,"Yelp with 66 photos, Yahoo Local. Builds wooden picket, R-panel and pipe fence plus decks and sheds — all homeowner-search work, no site."
40,"Welding, gates & ornamental iron",Rocking R Welding,"mobile welding and repair, fences and gates",(806) 224-6056,Lubbock,TX,,none anywhere,Instagram (@rockingrweldingllc) and Yelp only. Mobile welding and repair with no website to capture the search.
41,"Welding, gates & ornamental iron",French Broad Iron Works,custom ornamental iron fabrication,(865) 247-7251,Knoxville,TN,1921 E Magnolia Ave NE,none anywhere,"Facebook, Yelp, PowderCoating.US only. Custom ornamental iron is a high-ticket, photo-driven, heavily searched purchase — and they have nowhere to put the photos."
42,"Welding, gates & ornamental iron",Robert's Welding,"mobile welding, repairs, aluminum fabrication",(937) 270-7874,Dayton,OH,6865 Gleason Ave,none anywhere,"Owner Robert Smith. 4.9 stars across 42 reviews, open seven days. Nextdoor, Facebook, BBB, Yelp, Birdeye. A mobile welder with a reputation that good and no site is leaving the search to competitors."
43,Concrete & masonry,JADD Concrete,"stamped concrete, patios, driveways, pool decks",(818) 535-8315,Pacoima,CA,10881 Tamarack Ave,none anywhere,"CSLB license #974358, BuildZoom score 93 (top 27% in CA). HAS EMAIL: Anna.jaddconcrete@gmail.com — one of only three reachable by email."
44,Concrete & masonry,Grade A Concrete,"stamped concrete, patios, walks and steps",(260) 305-0135,Fort Wayne,IN,,none anywhere,"5.0 rating, free estimates. Facebook, Yelp, HomeAdvisor, BBB. Three Fort Wayne concrete competitors in the same search all run their own sites."
45,Concrete & masonry,Perez Concrete & Repairs,"flatwork repair, resurfacing, foundation work",(806) 831-5431,Lubbock,TX,,none anywhere,"Open 24 hours, 105 photos on Yelp, offers warranties. No own domain. (edperezconcretellc.com is a different Perez.)"
46,Concrete & masonry,Padilla's Masonry and Landscaping,"masonry, concrete, landscaping",(818) 896-5892,Arleta,CA,9683 Kewen Ave,none anywhere,WRONG LINK. Their listing points to frankscompletemasonry.com — a different company's site. Yelp listing unclaimed. They are sending their own clicks to a competitor.
47,Concrete & masonry,Alpha-Omega Masons,"brick, block, stone, tuckpointing, stucco, chimney caps",(865) 927-6414,Knoxville,TN,,none anywhere,"In business since 2019. Yelp, Nextdoor, Alignable. Second contact: Theresa at (540) 808-5740. Knoxville's marketed masons (KXM, Knoxville Masonry Pros, Brickstar) all outrank them with sites."
48,Concrete & masonry,Hulk Masonry,"brick, block, stone, tuckpointing, chimney, structural",(419) 320-8586,Toledo,OH,6020 Greenacre Rd,none anywhere,"Owner Jeremy Fennell, licensed bonded insured. Does structural work — I-beam supports, carbon fiber straps — with no site to explain it. Note: two addresses in directories, likely a move; confirm on the call."
49,Concrete & masonry,Tri State Concrete,"driveways, sidewalks, patios, steps",(260) 267-6285,Fort Wayne,IN,3503 Saint Joe Center Rd,none anywhere,"Owner Omar Arellano, started 2019, BBB accredited A+ since 2020. D&B, Angi, HomeAdvisor, BBB, Yelp, Procore — six directories, zero website."
50,Concrete & masonry,Vecchio Masonry & Chimney,"brick, block, stone, chimneys, tuckpointing, mailboxes",(330) 774-2611,Youngstown,OH,481 Clearmount Dr,none anywhere,"RENTED SUBDOMAIN. Their 'site' is missbrandy1204.wixsite.com/vecchioconstruction — a free Wix subdomain carrying someone's personal username. It cannot rank, cannot be remembered and cannot move. Owner Randall Vecchio, started 2013."
