rank,group,business,trade,phone,city,state,metro,street,site_verified,notes
11,Welding & metal fab,MX Welding,"mobile welding, MIG/TIG/stick, custom fab",(918) 361-8951,Tulsa,OK,"Tulsa, OK",4941 E Easton St,none anywhere,"VERIFIED NO SITE. Established 2023, owner welding since 2006. Yahoo, Nextdoor, Yelp, BBB, MerchantCircle. New business with no domain — easiest kind to name."
12,Welding & metal fab,MP Welding,welding and fabrication,(806) 319-4382,Lubbock,TX,"Lubbock, TX",2412 118th St Ste 3,none anywhere,"VERIFIED NO SITE. Facebook page and Yelp only. Owner 'Matt P.' Competitors in the same search (Sanco, Liberty, Lubbock Mobile Welding) all have real sites."
13,Welding & metal fab,KJM Welding,"structural, oilfield, farm equipment repair",(806) 319-5815,Lubbock,TX,"Lubbock, TX",2535 County Road 7670,none anywhere,"VERIFIED NO SITE. Sole proprietorship, BBB file opened 12/2023, owner Joshua Menefee, 10+ years. Yelp and BBB only."
14,Welding & metal fab,Cox Welding,"welding and fabrication, AWS certified",(806) 780-7855,Lubbock,TX,"Lubbock, TX",,none anywhere,"VERIFIED NO SITE. Thumbtack, Networx, Yelp. Founded ~2025, 12 years experience, AWS certified and insured. (coxweldingservices.com is a different company in Plano.)"
15,Welding & metal fab,Miller's Welding Works,"steel buildings, fencing of all kinds",(806) 781-8571,Lubbock,TX,"Lubbock, TX",1200 County Rd,none anywhere,"VERIFIED NO SITE. Yahoo Local and Yelp only, open 7 days 8am-5:30pm. Steel buildings and fencing are high-ticket searched work with no website behind them."
16,Tree & landscape,2 Guys Tree Service,tree service,(260) 442-9502,Fort Wayne,IN,"Fort Wayne, IN",7531 Auburn Rd,none anywhere,"VERIFIED NO SITE. Searched by name + Fort Wayne: directory listings only, no own domain. Competitors in the same result set (OnSite, Sawatree) run full sites."
17,Tree & landscape,Affordable Tree Service,tree service,(260) 478-1192,Fort Wayne,IN,"Fort Wayne, IN",8031 Kinnerk Rd,none anywhere,"VERIFIED NO SITE. BBB accredited since 1995, 36 years in business, 5.0 rating. Manta shows a website field with no URL. Three decades of reputation, nowhere to find it."
18,Tree & landscape,All About Tree & Turf Services,"arborist, removal, stump, transplanting",(260) 888-9174,Fort Wayne,IN,"Fort Wayne, IN",2401 Miner St Ste 200,none anywhere,"VERIFIED NO SITE. Owner Darick, 30 years in the trade. Yelp and directories only. Open odd long hours including Sunday — takes storm work, which is emergency search."
19,Tree & landscape,Sheltons Tree Service,tree service,(260) 489-6987,Fort Wayne,IN,"Fort Wayne, IN",4714 W Wallen Rd,none anywhere,"VERIFIED NO SITE. Directory listings only, BBB A+ rated. No own domain in any search."
20,Tree & landscape,Somers Tree Service,"tree service, difficult climbs",(260) 312-8152,Fort Wayne,IN,"Fort Wayne, IN",2710 Florida Dr,none anywhere,"VERIFIED NO SITE. Insured, licensed, family owned, 20+ years, 5.0 rating, specializes in hard-to-access climbing. Yelp, Angi, YP, Chamber. No domain."
21,Tree & landscape,Boling & Family Tree Service,tree service,(865) 385-3441,Knoxville,TN,"Knoxville, TN",529 Dry Hollow Rd,none anywhere,VERIFIED NO SITE. Facebook page (facebook.com/bolingfamilytrees) is the entire web presence. A Facebook page is not a website and assistants rarely cite one.
22,Tree & landscape,Total Tree Service,tree service,(865) 315-7988,Knoxville,TN,"Knoxville, TN",6338 Flint Gap Rd,none anywhere,"VERIFIED NO SITE. Directory listings only. Note: Knoxville's top tree companies (Smoky Mountain, and others) do have sites and rank above them."
23,Tree & landscape,Gutierrez Landscape & Tree Service,"tree trimming, planting, emergency, weed abatement",(818) 239-2955,Pacoima,CA,"Los Angeles, CA",,none anywhere,"VERIFIED NO SITE. In business since 2012, strong reviews. BuildZoom and Facebook only. (gtztrees.com and gutierrezandsonstreeservice.com are different Gutierrez companies — a name-confusion problem a site would fix.)"
24,"Upholstery, furniture & cabinetry",A A A Perkey's Upholstery,"upholstery, chair caning, cushion work",(865) 687-7404,Knoxville,TN,"Knoxville, TN",6038 Edmondson Ln,none anywhere,"VERIFIED NO SITE. Established 1970, 56 years in business. Yelp, YP, Nextdoor, Manta all show a website field with no URL behind it. Half a century of work, invisible."
25,"Upholstery, furniture & cabinetry",Special Touch Upholstery,"furniture reupholstery, custom pillows",(865) 909-0080,Knoxville,TN,"Knoxville, TN",6709 Kingston Pike Ste A,none anywhere,"VERIFIED, BROKEN LINK. Their directory listing points to specialtouchinteriors.ie — an Irish company with no connection to them. Anyone who clicks lands on a stranger's business. Highest-urgency lead on this sheet."
26,"Upholstery, furniture & cabinetry",North Hollywood Auto Upholstery,"headliners, carpet, convertible tops, seat covers",(818) 765-0511,North Hollywood,CA,"Los Angeles, CA",11576 Vanowen St,none anywhere,"VERIFIED, DIRECTORY MICROSITE ONLY. Their 'website' is northhollywoodautoupholstery.localsearch.com, a rented directory page they do not own. One listing also points at a dead dental-group domain. Email nohau991@gmail.com, active Instagram."
27,"Upholstery, furniture & cabinetry",Caoba Craft,"custom cabinets, windows, doors, millwork",(818) 807-0092,North Hollywood,CA,"Los Angeles, CA",7338 Varna Ave Unit 10,none anywhere,VERIFIED NO SITE. LLC registered 10/14/2025 — brand new. Instagram and Yelp only. Latinx-owned. Newest business on the sheet and the cleanest first-website sale.
28,"Upholstery, furniture & cabinetry",Imperial Upholstery,"reupholstery, custom cushions, leather dye",(260) 744-0751,Fort Wayne,IN,"Fort Wayne, IN",226 E Collins Rd Ste D,none anywhere,"VERIFIED NO SITE. 20+ years, English and Spanish, free estimates. Instagram (@imperial_upholstery_llc) and Yelp only. Two Fort Wayne competitors found in the same search (Recovery Room, Delaney's) both have domains."
29,"Concrete, masonry & flooring",JADD Concrete,"stamped concrete, patios, driveways, pool decks",(818) 535-8315,Pacoima,CA,"Los Angeles, CA",10881 Tamarack Ave,none anywhere,"VERIFIED NO SITE. CSLB license #974358, BuildZoom score 93 (top 27% in CA). Angi, BuildZoom, Yelp, FireRebuild. HAS EMAIL: Anna.jaddconcrete@gmail.com — one of the few reachable by email."
30,"Concrete, masonry & flooring",Grade A Concrete,"stamped concrete, patios, walks and steps",(260) 305-0135,Fort Wayne,IN,"Fort Wayne, IN",,none anywhere,"VERIFIED NO SITE. 5.0 rating, free estimates. Facebook, Yelp, HomeAdvisor, BBB. Three Fort Wayne concrete competitors in the same search all run their own sites."
31,"Concrete, masonry & flooring",Perez Concrete & Repairs,"flatwork repair, resurfacing, foundation work",(806) 831-5431,Lubbock,TX,"Lubbock, TX",,none anywhere,"VERIFIED NO SITE. Open 24 hours, 105 photos on Yelp, offers warranties. Facebook, Yelp, HomeAdvisor, homeyou. (edperezconcretellc.com is a different Perez.)"
32,"Concrete, masonry & flooring",Padilla's Masonry and Landscaping,"masonry, concrete, landscaping",(818) 896-5892,Arleta,CA,"Los Angeles, CA",9683 Kewen Ave,none anywhere,"VERIFIED, WRONG LINK. Their listing points to frankscompletemasonry.com — a different company's site. Yelp listing is unclaimed. They are sending their own clicks to a competitor."
33,"Concrete, masonry & flooring",Affordable Floor Installation,"SPC, laminate, vinyl, hardwood, carpet, refinishing",(747) 242-3418,Canoga Park,CA,"Los Angeles, CA",7634 Deering Ave,none anywhere,"VERIFIED NO SITE. Established 2005, 67 reviews. Yelp, Yahoo, homeyou, BuildZoom, Porch. Note: 7 of the 9 flooring businesses originally on this sheet turned out to have real websites — this one is the survivor."
34,Pool & shop services,All American Pools,"pool service, weekly maintenance, equipment repair",(806) 785-1514,Lubbock,TX,"Lubbock, TX",4707 60th St,none anywhere,"VERIFIED NO SITE. BBB, Facebook, BidBro, DexKnows, aquaticsconnect. No own domain. Note: 6 of the 8 pool companies originally on this sheet had real sites."
35,Pool & shop services,Brothers Pool Services,"weekly maintenance, equipment repair, green pool cleanup",(818) 882-9177,Northridge,CA,"Los Angeles, CA",18738 Plummer St,none anywhere,"VERIFIED, DIRECTORY MICROSITE ONLY. Their 'website' is brotherspoolserviceca.localsearch.com — a rented page, not a domain they own. Licensed contractor, established 1994, 30+ years."
36,Pool & shop services,Sun Valley Radiators,"radiator repair, auto A/C",(818) 767-1182,Sun Valley,CA,"Los Angeles, CA",8610 Lankershim Blvd,none anywhere,"VERIFIED NO SITE. 4.7 stars from 42 reviews, 35 of them five-star. Yelp, YP, RadiatorRepairHub. Strong reputation with nothing of their own to point to."
37,Pool & shop services,Otto's Auto Glass,windshield repair and replacement,(818) 787-7656,Van Nuys,CA,"Los Angeles, CA",7330 Van Nuys Blvd Ste 4,none anywhere,"VERIFIED NO SITE. Founded 1994, family owned, 2 employees. Yelp, Yahoo, D&B, YP, autoinclude. Auto glass is almost entirely search-driven and they have no site."
