#,call_by,tier,business,phone,town,tz,vertical,google_website_button,evidence,reviews,owner,listing_problems,ring_test,date_called,reached,ever_had_site,thumbtack_spend,discovery_notes,price_said,status,next_step,next_date,mockup_link,email
13,Miles,A,I&G Septic Tank Cleaning,(706) 229-2347,Dalton GA,ET,septic,CHECK ON MAPS,Places API said no site + no custom domain found,CHECK,Ignacio Guijon,,,,,,,,,,1910 Valley Brook Dr. alt (762) 209-9058,,,
14,Daniel,A,American Outback Septic,(410) 546-1666,Pittsville MD,ET,septic,CHECK ON MAPS,Places API said no site + no custom domain found; FB only,22 birdeye,,,,,,,,,,,"34265 Tingle Rd, 24/7",,,
15,Miles,A,Delaware Septic Service,(765) 358-4702,Gaston IN,ET,septic,CHECK ON MAPS,Places API said no site + no custom domain found,CHECK,,PHONE DIFFERS from old pull (744-0862). use this one.,,,,,,,,,"since 1999, 10885 N County Rd 600 W",,,
16,Daniel,A,Tison's Plumbing & Drain,(229) 877-3494,Valdosta GA,ET,septic,CHECK ON MAPS,Places API said no site + no custom domain found; FB only,CHECK,Dillan Tison,,,,,,,,,,432 E Park Ave. alt (229) 269-7169,,,
17,Miles,B-BROKEN,B.L. Phippin & Son,(410) 430-3897,Salisbury MD,ET,septic,CHECK ON MAPS,no custom domain found,CHECK,,THREE different phone numbers live + one Yelp listing marked CLOSED,,,,,,,,,LEAD WITH THE LISTING MESS. 40+ yrs.,,,
18,Daniel,B-BROKEN,Collins Septic Service,(606) 633-8627,Isom KY,ET,septic,CHECK ON MAPS,no custom domain found; FB only,4 FB - below band,,DUPLICATE YELP LISTING MARKED CLOSED,,,,,,,,,GIVE THE CLOSED-LISTING FIX AWAY FREE,,,
19,Miles,B-BROKEN,Distel's Septic Service,(419) 448-0250,Tiffin OH,ET,septic,CHECK ON MAPS,Places API said no site + no custom domain found,CHECK,,TWO Yelp listings at DIFFERENT addresses (30 Ella St / 1903 W CR 52),,,,,,,,,duplicate listings split their reviews,,,
20,Daniel,B-BROKEN,Heavenly Gates Fence Co,(910) 220-5965,Troy NC,ET,fencing_gates,CHECK ON MAPS,no custom domain found; FB only,CHECK,,A YELP LISTING SAYS CLOSED. confirm they still trade.,,,,,,,,,alt (910) 572-5315,,,

# HOW THESE WERE VERIFIED - AND THE LIMIT ON THAT
#
# What was checked: for every business, a name search returning ONLY directory
# listings (Yelp, FB, Nextdoor, BBB, Angi, Birdeye, YellowPages, Manta, D&B,
# chamber) and NO custom domain of their own. Tier A also came out of the
# Places API pull where websiteUri was empty, so two independent signals agree.
#
# What could NOT be checked: google.com, Google Maps and Google Business Profile
# are blocked from the research environment. The GBP "Website" button is a
# DIFFERENT FIELD from what a web search shows, and it is the field you are
# looking at. They can disagree.
#
# SO: before you dial, open the Google Maps listing and look for the Website
# button. Ten seconds. Fill google_website_button with:
#     NONE      -> no Website button. this is the lead. dial it.
#     FREE      -> button points at wixsite.com / godaddysites.com / business.site
#                  / a facebook.com URL. still a great lead, different opener.
#     REAL      -> points at their own domain. DROP IT, move to the next row.
#
# The only permanent fix is restoring the Google Places API key. websiteUri IS
# the GBP website field, which is why that key is the only instrument that
# answers this question at scale. Everything else is inference.
#
# tz  PT=Pacific CT=Central ET=Eastern. trades answer 6:30-8am and 4-6pm LOCAL.
#     Sorted so you can work Pacific to Eastern in one sitting.
# status  NEW / NO-ANSWER / VM-LEFT / CONVO / BOOKED / MOCKUP-SENT / SOLD / DQ / BURNT
# price_said  Y/N. all-time count as of 21 Sep 2026: 1.
#
# OFFER (see docs/what_this_is.md): $600 + $149/mo, first month included.
#   $800 + $149/mo for a bigger multi-page job. $900 once if they insist on
#   owning it outright with no support. NEVER say the build price alone.
